,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"17582",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17584",23,23,23,24,25,25,25,25,25
"17601",165,171,173,186,193,196,197,200,207
"17602",255,273,293,310,333,347,359,377,397
"17603",331,354,373,385,394,403,405,423,431
"17701",12,13,17,17,18,18,18,18,18
"17702",NA,5,5,6,6,6,6,6,6
"17721",0,0,0,0,0,0,0,0,0
"17723",0,0,0,0,0,0,0,0,0
"17724",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17727",0,0,0,0,0,0,0,0,0
"17728",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17729",0,0,0,0,0,0,0,0,0
"17731",0,0,0,0,0,0,0,0,0
"17737",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17740",11,11,12,13,14,14,16,22,25
"17742",0,0,0,0,0,0,0,0,0
"17744",0,0,0,0,0,0,0,0,0
"17745",5,7,8,10,12,13,13,14,14
"17747",NA,NA,NA,NA,5,5,6,6,6
"17751",NA,NA,NA,NA,5,7,7,7,7
"17752",0,0,0,0,0,0,0,NA,NA
"17754",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17756",5,7,7,7,7,7,7,7,7
"17758",0,0,0,0,0,0,0,0,0
"17760",0,0,0,0,0,0,0,0,0
"17763",0,0,0,0,0,0,0,0,0
"17764",0,0,0,0,0,0,0,0,0
"17765",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17768",0,0,0,0,0,0,0,0,0
"17771",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17772",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17774",0,0,0,0,0,0,0,0,0
"17776",0,0,0,0,0,0,0,0,0
"17777",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17778",0,0,0,0,0,0,0,0,0
"17801",36,38,40,40,40,41,41,41,41
"17810",0,0,0,0,0,0,0,0,0
"17812",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17813",0,0,0,0,0,0,0,0,0
"17814",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17815",59,60,60,60,61,62,64,65,66
"17820",10,10,10,10,10,11,11,11,11
"17821",27,27,27,27,27,27,27,27,28
"17823",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17824",0,0,0,NA,NA,NA,NA,NA,NA
"17827",0,0,0,0,0,0,0,0,0
"17830",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17832",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17834",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17835",0,0,0,0,0,0,0,0,0
"17836",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17837",6,7,7,7,7,7,7,8,8
"17840",0,0,0,0,0,0,0,0,0
"17841",6,6,6,6,6,6,7,7,7
"17842",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17844",8,8,8,8,8,9,9,9,9
"17845",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17846",NA,NA,NA,NA,NA,5,5,5,6
"17847",14,14,14,15,15,15,15,15,15
"17850",0,0,0,0,0,0,0,0,0
"17851",7,7,7,7,7,7,7,7,7
